Unnamed: 0.1,Unnamed: 0,ISBN,ID,title,authors,description,avg_rating,age,no_synset,synset
28,28,9783608935417,1070463,"Die Gefährten (The Lord of the Rings, #1)","[J.R.R. Tolkien, Wolfgang Krege]","Der Schauplatz des Herrn der Ringe ist Mittelerde, eine alternative Welt, und erzählt wird von der gefahrvollen Quest einiger Gefährten, die in einem dramatischen Kampf gegen das Böse endet.<br /><br />Durch einen merkwürdigen Zufall fällt dem Hobbit Bilbo Beutlin ein Zauberring zu, dessen Kraft, käme er in die falschen Hände, zu einer absoluten Herrschaft des Bösen führen würde. Bilbo übergibt den Ring an seinen Neffen Frodo, der den Ring in der Schicksalskluft zerstören soll.<br /><br />Hobbits sind kleine, gemütliche Leute, dabei aber erstaunlich zäh. Sie leben in einem ländlichen Idyll, dem Auenland.",4.36,17.0,,
29,29,9783608935424,165491,"Die zwei Türme (Der Herr der Ringe, #2)","[J.R.R. Tolkien, Wolfgang Krege]","Der Schauplatz des Herrn der Ringe ist Mittelerde, eine alternative Welt, und erzählt wird von der gefahrvollen Quest einiger Gefährten, die in einem dramatischen Kampf gegen das Böse endet.<br /><br />Durch einen merkwürdigen Zufall fällt dem Hobbit Bilbo Beutlin ein Zauberring zu, dessen Kraft, käme er in die falschen Hände, zu einer absoluten Herrschaft des Bösen führen würde. Bilbo übergibt den Ring an seinen Neffen Frodo, der den Ring in der Schicksalskluft zerstören soll.<br />Hobbits sind kleine, gemütliche Leute, dabei aber erstaunlich zäh. Sie leben in einem ländlichen Idyll, dem Auenland.<br /><br />source: klett-cotta.de",4.45,17.0,,
30,30,9783608935431,1070467,"Die Wiederkehr des Königs (Der Herr der Ringe, #3)","[J.R.R. Tolkien, Wolfgang Krege]","Der Schauplatz des Herrn der Ringe ist Mittelerde, eine alternative Welt, und erzählt wird von der gefahrvollen Quest einiger Gefährten, die in einem dramatischen Kampf gegen das Böse endet.<br /><br />Durch einen merkwürdigen Zufall fällt dem Hobbit Bilbo Beutlin ein <br />Zauberring zu, dessen Kraft, käme er in die falschen Hände, zu einer <br />absoluten Herrschaft des Bösen führen würde. Bilbo übergibt den Ring an seinen Neffen Frodo, der den Ring in der Schicksalskluft zerstören soll. <br />Hobbits sind kleine, gemütliche Leute, dabei aber erstaunlich zäh. Sie leben in einem ländlichen Idyll, dem Auenland.",4.53,17.0,,
31,31,9783704320193,4504259,Die letzte Nacht der Titanic,[Walter Lord],"First published in 1955, <i>A Night to Remember</i> remains a completely riveting account of the <i>Titanic</i>'s fatal collision and the behavior of the passengers and crew, both noble and ignominious. Some sacrificed their lives, while others fought like animals for their own survival. Wives beseeched husbands to join them in lifeboats; gentlemen went taut-lipped to their deaths in full evening dress; and hundreds of steerage passengers, trapped below decks, sought help in vain. <br />",4.03,17.0,,
65,65,9780140385724,7840334,The Outsiders,[S.E. Hinton],"<i>Librarian note: This record is for one of the three editions published with different covers and with ISBN 0-140-38572-X / 978-0-14-038572-4. The records are for the <a href=""https://www.goodreads.com/book/show/231804.1988_cover"" title=""1988 cover"" rel=""nofollow"">1988 cover</a>, the <a href=""https://www.goodreads.com/book/show/17985531.1995_cover"" title=""1995 cover"" rel=""nofollow"">1995 cover</a>, and the <a href=""https://www.goodreads.com/book/show/7840334.2008_cover"" title=""2008 cover"" rel=""nofollow"">2008 cover</a> (this record) which is also the current in-print cover.<br /><br />The 2008 publication date for this edition is from the copyright page ""This edition published by Speak, an imprint of Penguin Group (USA) Inc., 2008"". The story ends on page 180 in this edition. Pages [182-186] are bonus material in this edition containing questions to the author about the book and her answers.</i><br /><br /><i>The Outsiders</i> is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.",4.1,16.272727272727273,,
71,71,9780553211405,50201552,Jane Eyre,[Charlotte Brontë],"<p>Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard.<br /></p><p> But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?</p>",4.13,17.1,,
73,73,9780553272536,231614,Night,"[Elie Wiesel, Robert McAfee Brown, François Mauriac, Stella Rodway]","""Night"" -- A terrifying account of the Nazi death camp horror that turns a young Jewish boy into an agonized witness to the death of his family...the death of his innocence...and the death of his God. Penetrating and powerful, as personal as ""The Diary Of Anne Frank,"" ""Night"" awakens the shocking memory of evil at its absolute and carries with it the unforgettable message that this horror must never be allowed to happen again.<br />--back cover",4.34,16.8125,,
76,76,9780345339683,50734801,The Hobbit,[J.R.R. Tolkien],"Bilbo Baggins was a hobbit who wanted to be left alone in quiet comfort. But the wizard Gandalf came along with a band of homeless dwarves. Soon Bilbo was drawn into their quest, facing evil orcs, savage wolves, giant spiders, and worse unknown dangers. Finally, it was Bilbo–alone and unaided–who had to confront the great dragon Smaug, the terror of an entire countryside…<br /><br />--back cover",4.27,16.35135135135135,,
79,79,9780553278835,941725,"Alas, Babylon",[Pat Frank],"""Alas, Babylon...""<br />Those fateful words heralded the end. In seconds, the unthinkable nightmare of nuclear war ravaged America. For millions it was instant death; for tens of millions more, it was a living nightmare of hunger, sickness and brutality. Overnight, a thousand years of civilization was stripped away, leaving only maked passions behind.<br /><br />But for one small Florida town, spared against all odds, the struggle was just beginning. ALAS, BABYLON is the classic story of a handful of men and women of all ages and races, who found the strength and courage to join together to push back the darkness.<br /><br />The classic apocalyptic novel that stunned the nation with its vivid portrayal of a small town's survival after nuclear holocaust devastates the country.",4.08,17.0,,
82,82,9780380778553,636993,Rebecca,[Daphne du Maurier],"""Last night I dreamt I went to Manderley again.""<br /><br />So the second Mrs. Maxim de Winter remembered the chilling events that led her down the turning drive past the beeches, white and naked, to the isolated gray stone manse on the windswept Cornish coast. With a husband she barely knew, the young bride arrived at this immense estate, only to be inexorably drawn into the life of the first Mrs. de Winter, the beautiful Rebecca, dead but never forgotten...her suite of rooms never touched, her clothes ready to be worn, her servant -- the sinister Mrs. Danvers -- still loyal. And as an eerie presentiment of the evil tightened around her heart, the second Mrs. de Winter began her search for the real fate of Rebecca...for the secrets of Manderley.",4.23,16.454545454545453,,
