model,shots,book,answer,ground_truth_stem,answer_clean
llama3.2:1b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
llama3.2:1b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
llama3.2:1b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False.,True,False
llama3.2:1b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False.,True,False
llama3.2:1b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
llama3.2:1b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
llama3.2:1b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
llama3.2:1b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False,True,False
llama3.2:1b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False.,True,False
llama3.2:1b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False.,True,False
llama3.2:1b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False.,True,False
llama3.2:1b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",False.,True,False
mistral:7b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
mistral:7b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,0,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,1,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,5,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
gemma3:12b,10,"Code Breaker, Spy Hunter: How Elizebeth Friedman Changed the Course of Two World Wars",True,True,True
llama3.2:1b,0,0-02-823102-3,False.,False,False
llama3.2:1b,0,0-02-823102-3,False.,False,False
llama3.2:1b,0,0-02-823102-3,False.,False,False
llama3.2:1b,0,0-02-823102-3,False.,False,False
llama3.2:1b,0,0-02-823102-3,False.,False,False
llama3.2:1b,1,0-02-823102-3,False.,False,False
llama3.2:1b,1,0-02-823102-3,False.,False,False
llama3.2:1b,1,0-02-823102-3,False.,False,False
llama3.2:1b,1,0-02-823102-3,True,False,True
llama3.2:1b,1,0-02-823102-3,False.,False,False
llama3.2:1b,5,0-02-823102-3,False.,False,False
llama3.2:1b,5,0-02-823102-3,False.,False,False
llama3.2:1b,5,0-02-823102-3,True.,False,True
llama3.2:1b,5,0-02-823102-3,False.,False,False
llama3.2:1b,5,0-02-823102-3,False.,False,False
llama3.2:1b,10,0-02-823102-3,False.,False,False
llama3.2:1b,10,0-02-823102-3,False.,False,False
llama3.2:1b,10,0-02-823102-3,False.,False,False
llama3.2:1b,10,0-02-823102-3,False.,False,False
llama3.2:1b,10,0-02-823102-3,False.,False,False
mistral:7b,0,0-02-823102-3,"False. The book does not appear to be in the field of Science, Technology, Engineering, or Mathematics (STEM). It's about economics, which falls under social sciences.",False,False
mistral:7b,0,0-02-823102-3,"False, the book ""0-02-823102-3"" is not a STEM book. It falls under Social Sciences rather than Science, Technology, Engineering, or Mathematics.",False,False
mistral:7b,0,0-02-823102-3,False,False,False
mistral:7b,0,0-02-823102-3,False,False,False
mistral:7b,0,0-02-823102-3,False,False,False
mistral:7b,1,0-02-823102-3,True,False,True
mistral:7b,1,0-02-823102-3,True,False,True
mistral:7b,1,0-02-823102-3,True,False,True
mistral:7b,1,0-02-823102-3,True,False,True
mistral:7b,1,0-02-823102-3,True,False,True
mistral:7b,5,0-02-823102-3,True,False,True
mistral:7b,5,0-02-823102-3,True,False,True
mistral:7b,5,0-02-823102-3,True,False,True
mistral:7b,5,0-02-823102-3,True,False,True
mistral:7b,5,0-02-823102-3,True,False,True
mistral:7b,10,0-02-823102-3,"False. The book ""Applies traditional economic theory to contemporary problems such as unemployment, inflation, and conflicting economic systems"" falls under Social Science, not STEM (Science, Technology, Engineering, Mathematics).",False,False
mistral:7b,10,0-02-823102-3,False,False,False
mistral:7b,10,0-02-823102-3,"False, the book is not STEM (Science, Technology, Engineering, Mathematics). It is an economics book.",False,False
mistral:7b,10,0-02-823102-3,False,False,False
mistral:7b,10,0-02-823102-3,"False. This book appears to focus on economics, which falls under social sciences rather than STEM (Science, Technology, Engineering, Mathematics) disciplines.",False,False
gemma3:12b,0,0-02-823102-3,True,False,True
gemma3:12b,0,0-02-823102-3,True,False,True
gemma3:12b,0,0-02-823102-3,True,False,True
gemma3:12b,0,0-02-823102-3,True,False,True
gemma3:12b,0,0-02-823102-3,True,False,True
gemma3:12b,1,0-02-823102-3,True,False,True
gemma3:12b,1,0-02-823102-3,True,False,True
gemma3:12b,1,0-02-823102-3,True,False,True
gemma3:12b,1,0-02-823102-3,True,False,True
gemma3:12b,1,0-02-823102-3,True,False,True
gemma3:12b,5,0-02-823102-3,True,False,True
gemma3:12b,5,0-02-823102-3,True,False,True
gemma3:12b,5,0-02-823102-3,True,False,True
gemma3:12b,5,0-02-823102-3,True,False,True
gemma3:12b,5,0-02-823102-3,True,False,True
gemma3:12b,10,0-02-823102-3,True,False,True
gemma3:12b,10,0-02-823102-3,True,False,True
gemma3:12b,10,0-02-823102-3,True,False,True
gemma3:12b,10,0-02-823102-3,True,False,True
gemma3:12b,10,0-02-823102-3,True,False,True
llama3.2:1b,0,Something Great,False,True,False
llama3.2:1b,0,Something Great,False.,True,False
llama3.2:1b,0,Something Great,False.,True,False
llama3.2:1b,0,Something Great,False,True,False
llama3.2:1b,0,Something Great,False.,True,False
llama3.2:1b,1,Something Great,False,True,False
llama3.2:1b,1,Something Great,False,True,False
llama3.2:1b,1,Something Great,True,True,True
llama3.2:1b,1,Something Great,True,True,True
llama3.2:1b,1,Something Great,False,True,False
llama3.2:1b,5,Something Great,False,True,False
llama3.2:1b,5,Something Great,True,True,True
llama3.2:1b,5,Something Great,False.,True,False
llama3.2:1b,5,Something Great,False.,True,False
llama3.2:1b,5,Something Great,True,True,True
llama3.2:1b,10,Something Great,False,True,False
llama3.2:1b,10,Something Great,True,True,True
llama3.2:1b,10,Something Great,False,True,False
llama3.2:1b,10,Something Great,False,True,False
llama3.2:1b,10,Something Great,False,True,False
mistral:7b,0,Something Great,False,True,False
mistral:7b,0,Something Great,False,True,False
mistral:7b,0,Something Great,"False, the book ""Something Great"" is not a STEM book. It focuses on spiritual and personal development topics rather than Science, Technology, Engineering, or Mathematics.",True,False
mistral:7b,0,Something Great,False,True,False
mistral:7b,0,Something Great,False,True,False
mistral:7b,1,Something Great,False,True,False
mistral:7b,1,Something Great,False,True,False
mistral:7b,1,Something Great,False,True,False
mistral:7b,1,Something Great,False,True,False
mistral:7b,1,Something Great,False,True,False
mistral:7b,5,Something Great,False,True,False
mistral:7b,5,Something Great,False,True,False
mistral:7b,5,Something Great,False,True,False
mistral:7b,5,Something Great,False,True,False
mistral:7b,5,Something Great,False,True,False
mistral:7b,10,Something Great,"False. The book ""Something Great"" does not appear to be focused on Science, Technology, Engineering, or Mathematics (STEM) subjects.",True,False
mistral:7b,10,Something Great,"False. The book ""Something Great"" does not appear to be a STEM (Science, Technology, Engineering, Mathematics) title, as it focuses on spiritual and personal growth rather than scientific, technological, engineering, or mathematical topics.",True,False
mistral:7b,10,Something Great,"False, ""Something Great"" is not a STEM book. It appears to be a religious self-help book focused on spiritual growth and personal development rather than science, technology, engineering, or mathematics.",True,False
mistral:7b,10,Something Great,"False. The book ""Something Great"" is not STEM (Science, Technology, Engineering, Mathematics) as it primarily focuses on religion and spirituality.",True,False
mistral:7b,10,Something Great,False,True,False
gemma3:12b,0,Something Great,False,True,False
gemma3:12b,0,Something Great,False,True,False
gemma3:12b,0,Something Great,False,True,False
gemma3:12b,0,Something Great,False,True,False
gemma3:12b,0,Something Great,False,True,False
gemma3:12b,1,Something Great,False,True,False
gemma3:12b,1,Something Great,False,True,False
gemma3:12b,1,Something Great,False,True,False
gemma3:12b,1,Something Great,False,True,False
gemma3:12b,1,Something Great,False,True,False
gemma3:12b,5,Something Great,False,True,False
gemma3:12b,5,Something Great,False,True,False
gemma3:12b,5,Something Great,False,True,False
gemma3:12b,5,Something Great,False,True,False
gemma3:12b,5,Something Great,False,True,False
gemma3:12b,10,Something Great,False,True,False
gemma3:12b,10,Something Great,False,True,False
gemma3:12b,10,Something Great,False,True,False
gemma3:12b,10,Something Great,False,True,False
gemma3:12b,10,Something Great,False,True,False
llama3.2:1b,0,How to Hear the Universe: Gaby González and the Search for Einstein's Ripples in Space-Time,False.,True,False
llama3.2:1b,0,How to Hear the Universe: Gaby González and the Search for Einstein's Ripples in Space-Time,False,True,False
llama3.2:1b,0,How to Hear the Universe: Gaby González and the Search for Einstein's Ripples in Space-Time,False,True,False
llama3.2:1b,0,How to Hear the Universe: Gaby González and the Search for Einstein's Ripples in Space-Time,False,True,False
llama3.2:1b,0,How to Hear the Universe: Gaby González and the Search for Einstein's Ripples in Space-Time,True,True,True
llama3.2:1b,1,How to Hear the Universe: Gaby González and the Search for Einstein's Ripples in Space-Time,False,True,False
llama3.2:1b,1,How to Hear the Universe: Gaby González and the Search for Einstein's Ripples in Space-Time,False,True,False
